"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Pull Up",,"achei q iam mais kkkkk\nclosed grip",1,"normal",,3,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"fiz sentado no banco",0,"normal",16,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"fiz sentado no banco",1,"normal",18,10,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"fiz sentado no banco",2,"normal",18,10,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",0,"normal",35,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",1,"normal",35,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",2,"normal",35,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"agr fiz em pe e alternaco",0,"normal",16,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"agr fiz em pe e alternaco",1,"normal",16,12,,,
"lore is BACK (DAY)","19 Mar 2026, 20:34","19 Mar 2026, 21:29","esqueci da foto la ent faltou murilo","Bicep Curl (Dumbbell)",,"agr fiz em pe e alternaco",2,"normal",16,12,,,
